district,year,area,production,yield,mean_ndvi,peak_ndvi_x,long_term_ndvi,ndvi_anomaly,max_temp,seasonal_rainfall,peak_ndvi_y,peak_evi,max_water_stress,max_atmospheric_thirst,total_rain_sat
rampur,2014,8614.0,19468.0,2.2600417924309264,0.5253602159105475,0.742216182500152,0.5363818293282999,-0.0110216134177524,33.334767610221704,716.0334817521496,0.5685314374171089,0.494661140230113,-0.0013073495873685,34.6925256313177,8.059939061767572
saharanpur,2000,71743.0,170555.0,2.377305102936872,0.5845642916578331,0.7368123751237184,0.5904608759334554,-0.0058965842756223,31.21282265395527,388.04817820262457,0.6248925713519624,0.43680141262513,-0.0347646966500697,31.75010495941401,5.98520317494053
saharanpur,2000,1396.0,3162.0,2.265042979942693,0.5845642916578331,0.7368123751237184,0.5904608759334554,-0.0058965842756223,31.21282265395527,388.04817820262457,0.6248925713519624,0.43680141262513,-0.0347646966500697,31.75010495941401,5.98520317494053
saharanpur,2001,64769.0,146049.0,2.254921335824237,0.5794437170069293,0.7317347610742505,0.5904608759334554,-0.0110171589265261,31.774562249537748,359.5345254396988,0.5860119922945382,0.4490059827786095,-0.0292578570458029,32.670224469276455,3.8115815029468703
saharanpur,2002,57907.0,134817.0,2.328164125235291,0.5778972898241379,0.7499032136629389,0.5904608759334554,-0.0125635861093175,32.477935726191134,314.363651960071,0.6059520524199333,0.462120890568942,0.0269530578305516,32.58959332314253,7.778742694121772
saharanpur,2003,57924.0,119053.0,2.055331123541192,0.6107231708446772,0.7723033546939325,0.5904608759334554,0.0202622949112217,31.65438156544945,347.01668933160613,0.583973392177804,0.4651754687410547,-0.0370012681932972,27.53504238431164,4.1225329224330265
saharanpur,2003,3.0,6.0,2.0,0.6107231708446772,0.7723033546939325,0.5904608759334554,0.0202622949112217,31.65438156544945,347.01668933160613,0.583973392177804,0.4651754687410547,-0.0370012681932972,27.53504238431164,4.1225329224330265
saharanpur,2004,59988.0,134030.0,2.234280189371208,0.5756409283793831,0.7304262200587338,0.5904608759334554,-0.0148199475540723,31.59771821780076,358.615990851744,0.5649522121927316,0.4392446917348407,-0.005887678338125,32.01491510876054,4.579655612140628
saharanpur,2005,50264.0,115205.0,2.291998249243992,0.581528426131814,0.7304724547678291,0.5904608759334554,-0.0089324498016414,32.20958250572466,426.3913858215592,0.6453093425006071,0.4651769843421404,-0.0159714649359439,32.761966681108085,10.162938127896805
saharanpur,2006,56475.0,127803.0,2.2630013280212484,0.6245057738929726,0.7574718934429443,0.5904608759334554,0.0340448979595171,32.6743089529245,360.407658151616,0.6007737282789797,0.4746764933751981,0.0193019276253098,31.77259766375382,12.776752061994713
saharanpur,2007,49206.0,112879.0,2.294008860708044,0.6098833792052214,0.7619100614989438,0.5904608759334554,0.0194225032717659,32.47885247906338,492.5001110430272,0.5287858785581495,0.5264351553323139,-0.0002111128076338602,32.76926716421572,7.3152557363916495
saharanpur,2008,47858.0,106580.0,2.2270048894646663,0.5739279992183252,0.7448553868228112,0.5904608759334554,-0.0165328767151302,30.9528543485691,430.505959673515,0.6207429070653275,0.6206708270135501,-0.0196337873611016,31.18516630835502,10.956736040152704
saharanpur,2009,51884.0,118140.0,2.277002544136921,0.5817469856012185,0.7644450199198474,0.5904608759334554,-0.0087138903322369,33.21957315961728,870.5230854685502,0.6694109526288015,0.494390673255128,-0.0314565223448128,33.41860356567727,8.955766636966311
saharanpur,2010,54830.0,120023.0,2.1890023709648,0.5780308496235538,0.7613654138348772,0.5904608759334554,-0.0124300263099016,31.83893508385161,1480.502356045476,0.6394519520488918,0.4486336361554425,-0.0208991315480092,31.623700064577815,12.693896740863044
saharanpur,2011,52344.0,119920.0,2.2909980131438177,0.5911601074584617,0.7735772759278757,0.5904608759334554,0.0006992315250062,31.454118479694635,1394.568097169775,0.6130884094917695,0.4981671475714425,0.0045413537384168,31.318094136496224,12.596853261180554
saharanpur,2011,2.0,5.0,2.5,0.5911601074584617,0.7735772759278757,0.5904608759334554,0.0006992315250062,31.454118479694635,1394.568097169775,0.6130884094917695,0.4981671475714425,0.0045413537384168,31.318094136496224,12.596853261180554
saharanpur,2012,54042.0,141428.0,2.6170015913548723,0.5645612717328816,0.7662554603193481,0.5904608759334554,-0.0258996042005738,32.440853279937656,1322.1355168983089,0.646714113454576,0.4520257457513659,0.0033254968505057,32.98107959422227,12.788874383853901
saharanpur,2013,57786.0,141345.0,2.44600768352196,0.6152430619921365,0.7769817199850931,0.5904608759334554,0.0247821860586811,30.924104667227528,1517.2954611157145,0.5872701216251911,0.4962026068590639,0.0452936836935823,31.57921501148503,13.715480859620872
saharanpur,2014,62552.0,155629.0,2.487993989001151,0.5929909442716812,0.7660722692998616,0.5904608759334554,0.0025300683382257,32.99129708397811,768.1855802063305,0.6040007246532203,0.4765595008433188,0.0379957670344215,33.47939059779456,9.200863299355037
shahjahanpur,2000,195853.0,443656.0,2.265249957876571,0.4962388645167875,0.6985830375020852,0.5024962346716196,-0.0062573701548321,31.577619073426245,1142.5607660001235,0.5808790042957072,0.4312383537282016,-0.0672869103252491,34.23060415857238,10.18114561702014
shahjahanpur,2001,213911.0,509203.0,2.380443268462117,0.4976356139993946,0.6687253922238703,0.5024962346716196,-0.004860620672225,32.23851155324042,733.6532639562156,0.5981853651997194,0.4421244435490054,-0.1142405450359698,34.908828860813855,4.962773676665635
shahjahanpur,2001,1258.0,2994.0,2.379968203497615,0.4976356139993946,0.6687253922238703,0.5024962346716196,-0.004860620672225,32.23851155324042,733.6532639562156,0.5981853651997194,0.4421244435490054,-0.1142405450359698,34.908828860813855,4.962773676665635
shahjahanpur,2002,141350.0,293162.0,2.074014856738592,0.4281674375533282,0.6528641605776937,0.5024962346716196,-0.0743287971182914,32.711184763494984,706.3594076716007,0.6496776900700197,0.4530698087608641,-0.0810283241498285,36.867009485403486,5.539500408622608
shahjahanpur,2002,1839.0,3814.0,2.0739532354540517,0.4281674375533282,0.6528641605776937,0.5024962346716196,-0.0743287971182914,32.711184763494984,706.3594076716007,0.6496776900700197,0.4530698087608641,-0.0810283241498285,36.867009485403486,5.539500408622608
shahjahanpur,2003,186774.0,421045.0,2.254301990641096,0.4812959609400228,0.7155444535139598,0.5024962346716196,-0.0212002737315968,31.797221155667383,1156.6884530381508,0.6486955311540236,0.4854946447158848,-0.0585969582694132,33.62589180209267,3.3330596455031403
shahjahanpur,2003,4167.0,9392.0,2.253899688024958,0.4812959609400228,0.7155444535139598,0.5024962346716196,-0.0212002737315968,31.797221155667383,1156.6884530381508,0.6486955311540236,0.4854946447158848,-0.0585969582694132,33.62589180209267,3.3330596455031403
shahjahanpur,2004,204915.0,483179.0,2.357948417636581,0.4971353166822276,0.7358188955681626,0.5024962346716196,-0.005360917989392,31.97135199677137,913.4912491094508,0.6717038912672838,0.5019532047001687,-0.0733349373733057,34.744833670502786,4.4207822778365795
